review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
87d38823c8e926b57ec61e64f5466cfd,001dbc16dc51075e987543d23a0507c7,5,,,2017-02-14 00:00:00,2017-02-20 17:07:46
77e0edd9f898d8667be3a63d802c1021,00b4a910f64f24dbcac04fe54088a443,5,,Tudo ok,2017-01-27 00:00:00,2017-01-29 21:31:09
225b6952d36e8d5d5c46f0faae4c9827,012973f4cb6743d00d7e2644ddc8804c,5,,,2017-02-07 00:00:00,2017-02-10 03:47:02
c433b22629bcca816295cfc1cd446c7b,016dee69b3de35a39bfccee5309307c3,5,,,2017-01-27 00:00:00,2017-01-30 09:53:37
18e22c8baae1fd251e1af911f1c1dcaa,01ba72e24cf883d74c5479c0a626c740,5,,,2017-01-26 00:00:00,2017-01-26 22:30:30
c0001b239d903967dd453d3207023875,01f216b447564f9ea791b521db577ccb,5,,"No inicio fiquei com receio. Adorei,rápido e pratico. Obrigado.",2017-02-01 00:00:00,2017-02-06 13:01:36
00e927398b7a872a23c8990b38b7026a,021d08e4057e5b6414c8d2f69f4f72a0,1,,Comprei o produto chave canivete para Logan. Mas o produto que me enviaram foi a chave comum. Não vou solicitar a troca por o produto vai me atender. Mas faltou a atenção no ato de enviar o produto.,2016-10-31 00:00:00,2016-11-02 12:04:41
f640f6b13aa48409963e67e2f5381e7c,02a0eb7c22b0616c767a45954a2a28f6,5,,,2016-12-14 00:00:00,2016-12-14 03:46:43
57998f6fb9bff624291f11c44033bf57,03128233e78ed8ade6738f2043f4cf8d,4,,"Pela experiencia de compras no Mercado Livre, acho que a entrega via Correios poeria ser mais rápida(postagem).",2016-11-01 00:00:00,2016-11-02 23:07:34
be0b598a7016d7044a85d674d27ed345,032bc75236a1cbaf410bb596a509e774,4,,,2017-02-01 00:00:00,2017-02-01 08:59:28
83a805ef45ce81ae25df400575e6430c,032cf17f7a713287e46999fddea6051b,1,,"Achei um absurdo o produto estar disponível no site, o pagamento autorizado e debitado no cartão e a entrega não realizada ""por divergência no estoque"" segundo e mail que recebi...",2016-11-19 00:00:00,2016-11-21 12:31:30
22383fe465a6905882088baa73053bdc,035ab6fc3b7f9d16f714a337ee63b7be,5,,,2017-02-08 00:00:00,2017-02-09 15:36:50
7d11a1c5fd7b536288d74c4ea62d9128,03b218d39c422c250f389120c531b61f,5,,"Eu recomendo muito o produto, além de tudo a entrega foi muito rápida.",2017-01-19 00:00:00,2017-01-22 02:11:20
7d7a40160ccc9676b82f8f5bc35ba293,03ffce741877a000ca0fb3520673d4c4,5,,"Chegou bem antes do prazo, estou super feliz!",2016-10-26 00:00:00,2016-10-26 12:50:15
344f357394de6a300fa5a865db21c668,042e247be09aeae88a74e35766aa03ca,3,,O produto não está entre os melhores pois o preço ainda vai mais comprei dois produtos iguais pelo msm é tive que pagar dois fretes sendo que chegaram juntos absurdo,2017-02-15 00:00:00,2017-03-11 01:25:56
eb0a5e66d996050334014587b1c8699c,04bc36cd51141e11c2cbbd188b6e47ca,5,,,2016-10-21 00:00:00,2016-10-22 00:14:57
e19f9824bd7c140c8ef2ab5ab6b39217,052523fd2c735b15cb107afc0a413bc2,5,,,2017-02-07 00:00:00,2017-02-09 17:02:23
f8352324132b07d990c090c7fe8868ef,055eb7e5645d86bd278fc4f419622e8d,5,,,2017-02-03 00:00:00,2017-02-06 18:05:22
8b5afd726cc86efde6b416387b9d3ef4,0571cdb407bf04b419c94ffd7acbd874,1,,"o película que recebi apesar de vir identificada a ""caneta"" como sendo para um CELULAR LG K10 - é inadequada para o modelo por ser pequena, não a instalei pois ficaria rídicula.",2017-01-31 00:00:00,2017-02-03 08:52:23
6f6f67bf9001fd504af727529b15ecbc,058afe6c6322b4773393a66003934493,4,,,2017-01-25 00:00:00,2017-01-28 16:24:33
3388a00080894e49e5299e6880a149e0,05bfcf9e287cad216cadb8a850f8db5c,5,,DEMOROU 1 POUCO ...MAS CHEGOU CERTO....OBG,2016-11-08 00:00:00,2016-11-09 10:32:07
92ed9bea12e43363333b56c9e331a9ae,05c7d88e9c05e1fa1428f1ff2dcc29da,5,,,2016-11-04 00:00:00,2016-11-04 13:27:16
d68b58c6ca07c6575ca6ca5571ee7520,05ca3bba2e4c3bc5c601b57af96cf3cf,5,,,2017-02-23 00:00:00,2017-02-24 10:00:54
