seller_id,seller_zip_code_prefix,seller_city,seller_state
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
011b0eaba87386a2ae96a7d32bb531d1,17580,pompeia,SP
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
024b564ae893ce8e9bfa02c10a401ece,03280,sao paulo,SP
0307f7565ff85b299b6e5ef162b1b1a9,15085,sao jose do rio preto,SP
0336182e1b3e92f029d5354832045fdf,14940,ibitinga,SP
054694fa03fe82cec4b7551487331d74,15840,itajobi,SP
05ff92fedb5be47920fea08e501238b9,98803,santo angelo,RS
062ce95fa2ad4dfaedfc79260130565f,95913,lajeado,RS
066a6914e1ebf3ea95a216c73a986b91,85863,foz do iguacu,PR
0725b8c0f3f906e58f70cbe76b7c748c,07023,guarulhos,SP
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
0b09101900100c0e9d312861fad5a1b9,03168,sao paulo,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,37410,tres coracoes,MG
0db783cfcd3b73998abc6e10e59a102f,11010,santos,SP
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
0f519b0d2e5eb2227c93dd25038bfc01,14940,ibitinga,SP
11305281b50fff20ae8bb473f8e11876,36500,uba,MG
1336efc61c316ddf92c899eb817f7cae,19800,assis,SP
13e85aac53340018b40c2af68001b7e0,13920,pedreira,SP
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
1771297ac436903d1dd6b0e9279aa505,07025,guarulhos,SP
184a67a8f9f63234d3a92340bbdb727f,89220,joinville,SC
198c7ea11960a9844b544d9bcdca860c,37590,jacutinga,MG
1b8b75e227c9a9c100d0c210fb6176ce,05468,sao paulo,SP
1d0997ff06b524ce9289ffd75114ecd3,52020,recife,PE
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,08250,sao paulo,SP
218d46b86c1881d022bce9c68a7d4b15,14070,ribeirao preto,SP
2199e7fe213c16213bf5d6a7eadc9a5d,11900,registro,SP
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
2493dc3f20131696a0ecdb9948051a8d,71065,brasilia,DF
25e6ffe976bd75618accfe16cefcbd0d,05503,sao paulo,SP
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
2b1a40c1daabc6ca280c4b815c101841,35500,divinopolis,MG
2bd05d410a8fd26dc4184a15f4f2f588,31130,belo horizonte,MG
2bdb95a56a36ebbc6640337ac5eac174,04054,sao paulo,SP
2be17df1c49978426251562096c3cc09,88704,tubarao,SC
2f4b9d112bfa44a214bc6cef085d17c8,29600,afonso claudio,ES
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
3340ef1913fb70d28420f6ceb685c339,87040,maringa,PR
3481aa57cd91f9f9d3fa1fa12d9a3bf7,13360,capivari,SP
