order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
001dbc16dc51075e987543d23a0507c7,1,777d2e438a1b645f3aec9bd57e92672c,4a3ca9315b744ce9f8e9374361493884,2017-02-01 13:17:57,69.9,18.0
00b4a910f64f24dbcac04fe54088a443,1,ba05e2861971098fc7ecd8162c23452a,d50d79cb34e38265a8649c383dcffd48,2017-01-22 17:55:34,33.99,16.6
012973f4cb6743d00d7e2644ddc8804c,1,cd59f488cef311feb633141ad1e8563d,8d79c8a04e42d722a75097ce5cbcf2ef,2017-02-02 22:02:29,15.32,18.0
016dee69b3de35a39bfccee5309307c3,1,68bfdbfe84f03af17733b10362f10020,827f8f69dfa529c561901c4f2e0f332f,2017-01-18 16:35:59,45.0,17.19
01ba72e24cf883d74c5479c0a626c740,1,fb060ad9a8625b626189641799bccf89,b1204cfda1d4948679db3cfc0d3cb95c,2017-01-21 19:55:40,44.6,14.52
01f216b447564f9ea791b521db577ccb,1,473795a355d29305c3ea6b156833adf5,620c87c171fb2a6dd6e8bb4dec959fc6,2017-01-28 18:44:53,59.9,14.59
02190241f7190a1f3c7e0df95a749c6a,1,e00d2c49504aeaf7acdc9ff7cf8a6107,46dc3b2cc0980fb8ec44634e21d2718e,2016-10-12 04:44:23,249.99,10.74
02190241f7190a1f3c7e0df95a749c6a,2,e00d2c49504aeaf7acdc9ff7cf8a6107,46dc3b2cc0980fb8ec44634e21d2718e,2016-10-12 04:44:23,249.99,10.74
021d08e4057e5b6414c8d2f69f4f72a0,1,a819714dd23a6ac18b1be2b13686017b,ffff564a4f9085cd26170f4732393726,2016-10-17 19:01:41,51.5,14.53
02a0eb7c22b0616c767a45954a2a28f6,1,5f8c74f4a3d2b616857fcb7d4dd1f61a,83e197e95a1bbabc8c75e883ed016c47,2016-10-14 08:14:53,119.5,25.04
03128233e78ed8ade6738f2043f4cf8d,1,3cacd5299c846cb08ae1e445fd78392b,c7dcd301ecfe5ab7f778ac172cf74be7,2016-10-21 16:25:24,57.9,14.61
032bc75236a1cbaf410bb596a509e774,1,1f50c7757334d6acef5e3c5fa64eb3c7,dbb9b48c841a0e39e21f98e1a6b2ec3e,2017-01-24 22:18:06,39.9,11.74
035ab6fc3b7f9d16f714a337ee63b7be,1,9117307cf75efa6e964d697f0d1297f9,0ea22c1cfbdc755f86b9b54b39c16043,2017-01-27 23:36:55,19.9,24.84
03b218d39c422c250f389120c531b61f,1,c1488892604e4ba5cff5b4eb4d595400,1554a68530182680ad5c8b042c3ab563,2017-01-18 14:20:01,38.5,11.74
03ffce741877a000ca0fb3520673d4c4,1,660422061e06da17ca6101e9d6b7aae8,76d5af76d0271110f9af36c92573f765,2016-10-10 16:02:37,649.0,169.12
042e247be09aeae88a74e35766aa03ca,1,7721582bb750762d81850267d19881c1,0c8380b62e38e8a1e6adbeba7eb9688c,2017-01-30 22:28:07,59.5,17.16
042e247be09aeae88a74e35766aa03ca,2,7721582bb750762d81850267d19881c1,0c8380b62e38e8a1e6adbeba7eb9688c,2017-01-30 22:28:07,59.5,17.16
04bc36cd51141e11c2cbbd188b6e47ca,1,0fc6914383c2bea767a9562c9d8b43a1,8c16d1f32a54d92897cc437244442e1b,2016-10-13 14:35:21,43.89,14.52
052523fd2c735b15cb107afc0a413bc2,1,c1488892604e4ba5cff5b4eb4d595400,1554a68530182680ad5c8b042c3ab563,2017-01-31 17:21:48,38.5,18.0
055eb7e5645d86bd278fc4f419622e8d,1,46f739c1cd676603026c0af4d29ef7a5,198c7ea11960a9844b544d9bcdca860c,2017-01-30 13:14:02,139.99,16.09
0571cdb407bf04b419c94ffd7acbd874,1,91b08d34d0ba4db44da2dc382867ba49,b76dba6c951ab00dc4edf0a1aa88037e,2017-01-23 21:24:05,6.9,15.65
058afe6c6322b4773393a66003934493,1,3cc52e01a315aba7f650574a3a256b1a,e5a38146df062edaf55c38afa99e42dc,2017-01-23 19:35:35,229.9,15.39
05bfcf9e287cad216cadb8a850f8db5c,1,eba7488e1c67729f045ab43fac426f2e,620c87c171fb2a6dd6e8bb4dec959fc6,2016-10-10 16:05:52,249.9,17.59
05bfcf9e287cad216cadb8a850f8db5c,2,eba7488e1c67729f045ab43fac426f2e,620c87c171fb2a6dd6e8bb4dec959fc6,2016-10-10 16:05:52,249.9,17.59
05c7d88e9c05e1fa1428f1ff2dcc29da,1,4e0946aebc8e1d7521219ec1e7380aed,817f85dbb65aa3e70831d90fe75cdf89,2016-10-21 16:18:08,128.9,16.04
05ca3bba2e4c3bc5c601b57af96cf3cf,1,f422d0d9f8b5f7c27289382b14b61248,1554a68530182680ad5c8b042c3ab563,2017-02-07 14:24:28,66.99,18.0
05cd156f0f47579a36d7a52724fc31b8,1,913580fde3e72c3b3e4ce0b79963bee6,b76dba6c951ab00dc4edf0a1aa88037e,2017-01-18 18:27:28,10.99,14.52
062f0992a050330334749ffa530fa796,1,5b8423dc7f23089c9c59c5d140eb5a1c,a3a38f4affed601eb87a97788c949667,2017-01-31 16:55:48,129.99,18.0
063b573b88fc80e516aba87df524f809,1,3d37da85f5e66558333fb5daee494736,ecccfa2bb93b34a3bf033cc5d1dcdc69,2016-10-21 16:23:11,69.9,17.63
0675116b5556a78cf0413f70aa9f235e,1,d41a53937c9fddcd3aafd96be7d4f345,cca3071e3e9bb7d12640c9fbe2301306,2017-01-25 15:21:44,79.9,11.95
06d7e8a85f5cfef576c5303ed7d7f2e5,1,989fd236458b9c0410bc6e1cf23cde4d,c9a06ece156bb057372c68718ec8909b,2016-10-11 12:36:07,49.0,14.72
06dec2690e0cd75d327646a81fdba74d,1,04c48a5fe31aedc4ef3896c005fd483c,620c87c171fb2a6dd6e8bb4dec959fc6,2017-02-02 14:30:57,309.9,18.0
06f5f6139b33f53defc64643f1252d53,1,1412c0124f6acb78a0a1023ea5e82c88,82bd0703a4aefd6b599e5bfdaed378fb,2017-01-21 14:50:19,44.9,15.56
07d13d352c85dfbfa60dc56dea818335,1,a703f5ade6e4fae527357132230ea778,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-01-26 23:07:15,23.9,8.72
08432abcf785878edf1221a0611960ea,1,e4acef9f829635351de593a05d2406da,45d33f715e24d15a6ccf5c17b3a23e3c,2017-01-30 20:37:39,29.99,17.19
0891b66cbcc48cf64f31ae9cae3d08d8,1,cf78006a2a6b0429b9663edd99bb38f9,710e3548e02bc1d2831dfc4f1b5b14d4,2016-10-14 03:55:40,299.99,17.91
