customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
0040b00970e2139e8c43b647c0da5305,8dfb9fff0eac6a63f34ed7707068e988,12942,atibaia,SP
00474d2582fd72663036795b7ab8cfc1,7bf845014243c08bdcea071d6981303e,87600,nova esperanca,PR
007b7f04a35e02745c23ea706492ca20,46dd28b3f7e33b789acf42d3093b7773,35950,alvinopolis,MG
00f3b3a7cd0b6566435090c7fbda03a2,c2b845a86c16b519c0c1d9598576f276,37940,alpinopolis,MG
01415cfeb907d8ce0e17075b4c097fe9,c2154b6ca788852f644e6f56dc7abbe9,05409,sao paulo,SP
01a0d45a369a4356ac4652584652109a,611110d26326c28456ebe437516be00e,14806,araraquara,SP
01be2c0c2d55c597b5ec011e26e4b0d1,0b3dc7efaafb0cf78a4796d42fa8d74c,22410,rio de janeiro,RJ
01e0d4fb731e6ee47df3f3f179cc0a0b,9a47f3ac5c51599a24bb848c16ece5f4,05633,sao paulo,SP
01f7b7a4e25cda9ce48c0f7263f7452d,e55fbf4f9ca883b98aeaa2b149987027,29400,mimoso do sul,ES
01fc05160cf790b9ed54ec795ff07688,225e63e9d240db566203b1ed918a809c,20760,rio de janeiro,RJ
021833e9737a1145b5a6e3053f0f4329,18af4524eed79155034a9374880c5078,03211,sao paulo,SP
0280e2736a179aa87a59447236a797fa,1c61833a5bbe555d71990cf46c3ccd2b,13313,itu,SP
02cb3a8ef6e13d37560379559e2f533d,d51c96d2f1d710b94744d6f7b88387d7,12245,sao jose dos campos,SP
031f08a1ebdcfb5e706831bf64de3860,4e23e1826902ec9f208e8cc61329b494,20550,rio de janeiro,RJ
0324eee00643cd63d11ec25cb930d53e,3d8b5f7499ecd5b1d995bb18d9ef69fe,21770,rio de janeiro,RJ
03376f61962efe4dccecd7ce47dcb511,e2a9ce5993c4e7bd7929e889da70a919,25060,duque de caxias,RJ
038f88979c9816294e2a236465e8096d,32203277565d5e9a28b9f0da4ed32698,44059,feira de santana,BA
03b753419e88796de2c7127ff13dce58,f6fe57d378dab85208a1fdd0172548e0,23020,rio de janeiro,RJ
04356ca5b944f7a92d6b103bdb44268a,2774c87659bdca5ddfc6df1a688a54e5,04561,sao paulo,SP
04a043776b45158df5f274435321c199,7e6f4c38a581cced287444d779368aed,35770,caetanopolis,MG
053716fea805d6b29d6f8b6113fefe4d,3b2aa495b3557acad84b380301a9cc94,62570,bela cruz,CE
055e117cce871c681f903f52d7a866d4,c40388c86f0334d1d69f33fc43322a8c,45985,teixeira de freitas,BA
0595cb1106adc0f2c0f617c560fb8e57,9d31457a03125fc870787a251760315a,05025,sao paulo,SP
064064dd94c43013786fc1e1a14d6374,00115fc7123b5310cf6d3a3aa932699e,71015,brasilia,DF
06a70917afd2dcd59396e1eac836c646,451c36d15ca9729da50f130f5c0f1c59,31870,belo horizonte,MG
06b74967617d6e12688e779fdc1a580c,8f09add4b8d8c9c4311d881d29b8d58c,88845,cocal do sul,SC
06cd112a475fd4d834eff32968147050,527cd2850ef91088969ffbef0103dec3,80030,curitiba,PR
070db51ef1d6a1bd858c21b03de83e66,1f98e3467d2b48dfb44fc12b137d3447,05074,sao paulo,SP
073a1dd224494392bd923c55a093ce4e,f59dcbbff80e462d11eba16dbbc43ff6,09020,santo andre,SP
076a5ddb5b1240c532093a399dcb47f5,76cfb52cb2b6b08a3a01454ad83e73f1,74915,aparecida de goiania,GO
08958a40dbb52a0eb07d38b5e9ba3e51,03d8e50ab83b5e43e11d51bbadb8b0bd,13221,varzea paulista,SP
08b0db04ac8d73532750572156241d88,0fc4512b047ebec6da8414a427494244,36050,juiz de fora,MG
08c5351a6aca1c1589a38f244edeee9d,b7d76e111c89f7ebf14761390f0f7d17,69309,boa vista,RR
08c95eb831d93a76079d7e24a117db29,e0998bd9b9ddc78c925d8a815f18673a,90540,porto alegre,RS
08fbfcc1b6c48f73ddca8312c78f6f53,4d30f9e0514e084c4ad6368a3afeeceb,35170,coronel fabriciano,MG
0974e9a00257a842b2ab61eb66b3b435,ea7086ab7cd398da72b160bd0f89b9b9,04505,sao paulo,SP
0975c3cf2e418ebfa5d1191a2dffd59d,f7b981e8a280e455ac3cbe0d5d171bd1,80030,curitiba,PR
0a9ee4d9030acbe428769c79d0c4da69,d0f63e7f9adb09e4efc7f4f276b977e4,45355,apuarema,BA
0b8c055126a79bb506c592eea2ddb8eb,9f86523d50f6768bc624252e42e938ff,11900,registro,SP
